# Or's compilation of empirically constrained SFR(z) curves
# using a diet-Salpeter IMF
# (1) - redshift 
# (2) - Yuksel+ 08 
# (3) - Bouwens+ 10 without dust correction
# (4) - Bouwens+ 10 with dust correction
# (5) - Oda+. 08, lower limit
# (6) - Oda+ 08, upper limit
# (7) - Hopkins & Beacom 06 (Cole+ 01 fit)
# (8) - Giavalisco+ 04
# (9) - Behroozi+ 13
#    z               Y08        B10raw             B10corr       oda08lowlim    oda08uplim        HB06           G04               B13
   5.5000000e-01   7.8896826e-02   5.9582000e-03   2.6919795e-02   6.6210498e-02   1.0262627e-01   6.1945346e-02   4.4057523e-02   4.6009278e-02
   5.6000000e-01   8.0640905e-02   6.0742656e-03   2.7356089e-02   6.7500276e-02   1.0530043e-01   6.2854805e-02   4.4890891e-02   4.6912490e-02
   5.7000000e-01   8.2412023e-02   6.1918288e-03   2.7796598e-02   6.8806698e-02   1.0802652e-01   6.3764211e-02   4.5732684e-02   4.7829186e-02
   5.8000000e-01   8.4210424e-02   6.3108992e-03   2.8241335e-02   7.0129867e-02   1.1080519e-01   6.4673562e-02   4.6582631e-02   4.8759370e-02
   5.9000000e-01   8.6036350e-02   6.4314864e-03   2.8690315e-02   7.1469893e-02   1.1363713e-01   6.5582852e-02   4.7440460e-02   4.9703039e-02
   6.0000000e-01   8.7890047e-02   6.5536000e-03   2.9143551e-02   7.2826880e-02   1.1652301e-01   6.6492078e-02   4.8305896e-02   5.0660178e-02
   6.1000000e-01   8.9771759e-02   6.6772496e-03   2.9601056e-02   7.4200936e-02   1.1946351e-01   6.7401234e-02   4.9178662e-02   5.1630761e-02
   6.2000000e-01   9.1681731e-02   6.8024448e-03   3.0062843e-02   7.5592168e-02   1.2245931e-01   6.8310316e-02   5.0058478e-02   5.2614751e-02
   6.3000000e-01   9.3620210e-02   6.9291952e-03   3.0528926e-02   7.7000682e-02   1.2551111e-01   6.9219319e-02   5.0945064e-02   5.3612098e-02
   6.4000000e-01   9.5587442e-02   7.0575104e-03   3.0999317e-02   7.8426584e-02   1.2861960e-01   7.0128237e-02   5.1838138e-02   5.4622742e-02
   6.5000000e-01   9.7583674e-02   7.1874000e-03   3.1474031e-02   7.9869982e-02   1.3178547e-01   7.1037064e-02   5.2737419e-02   5.5646609e-02
   6.6000000e-01   9.9609155e-02   7.3188736e-03   3.1953080e-02   8.1330983e-02   1.3500943e-01   7.1945794e-02   5.3642622e-02   5.6683611e-02
   6.7000000e-01   1.0166413e-01   7.4519408e-03   3.2436478e-02   8.2809692e-02   1.3829219e-01   7.2854421e-02   5.4553464e-02   5.7733648e-02
   6.8000000e-01   1.0374886e-01   7.5866112e-03   3.2924237e-02   8.4306217e-02   1.4163444e-01   7.3762939e-02   5.5469662e-02   5.8796606e-02
   6.9000000e-01   1.0586357e-01   7.7228944e-03   3.3416370e-02   8.5820664e-02   1.4503692e-01   7.4671339e-02   5.6390932e-02   5.9872357e-02
   7.0000000e-01   1.0800854e-01   7.8608000e-03   3.3912891e-02   8.7353140e-02   1.4850034e-01   7.5579615e-02   5.7316992e-02   6.0960757e-02
   7.1000000e-01   1.1018400e-01   8.0003376e-03   3.4413812e-02   8.8903752e-02   1.5202542e-01   7.6487760e-02   5.8247560e-02   6.2061648e-02
   7.2000000e-01   1.1239021e-01   8.1415168e-03   3.4919147e-02   9.0472605e-02   1.5561288e-01   7.7395764e-02   5.9182353e-02   6.3174857e-02
   7.3000000e-01   1.1462742e-01   8.2843472e-03   3.5428908e-02   9.2059808e-02   1.5926347e-01   7.8303620e-02   6.0121092e-02   6.4300195e-02
   7.4000000e-01   1.1689588e-01   8.4288384e-03   3.5943108e-02   9.3665467e-02   1.6297791e-01   7.9211319e-02   6.1063497e-02   6.5437458e-02
   7.5000000e-01   1.1919585e-01   8.5750000e-03   3.6461760e-02   9.5289687e-02   1.6675695e-01   8.0118852e-02   6.2009292e-02   6.6586424e-02
   7.6000000e-01   1.2152757e-01   8.7228416e-03   3.6984877e-02   9.6932577e-02   1.7060134e-01   8.1026208e-02   6.2958201e-02   6.7746856e-02
   7.7000000e-01   1.2389131e-01   8.8723728e-03   3.7512471e-02   9.8594243e-02   1.7451181e-01   8.1933378e-02   6.3909951e-02   6.8918499e-02
   7.8000000e-01   1.2628733e-01   9.0236032e-03   3.8044556e-02   1.0027479e-01   1.7848913e-01   8.2840352e-02   6.4864269e-02   7.0101082e-02
   7.9000000e-01   1.2871586e-01   9.1765424e-03   3.8581143e-02   1.0197433e-01   1.8253405e-01   8.3747119e-02   6.5820887e-02   7.1294318e-02
   8.0000000e-01   1.3117718e-01   9.3312000e-03   3.9122245e-02   1.0369296e-01   1.8664733e-01   8.4653666e-02   6.6779537e-02   7.2497899e-02
   8.1000000e-01   1.3367153e-01   9.4875856e-03   3.9667876e-02   1.0543079e-01   1.9082974e-01   8.5559983e-02   6.7739957e-02   7.3711504e-02
   8.2000000e-01   1.3619917e-01   9.6457088e-03   4.0218047e-02   1.0718794e-01   1.9508205e-01   8.6466057e-02   6.8701883e-02   7.4934792e-02
   8.3000000e-01   1.3876037e-01   9.8055792e-03   4.0772772e-02   1.0896450e-01   1.9940503e-01   8.7371875e-02   6.9665059e-02   7.6167403e-02
   8.4000000e-01   1.4135538e-01   9.9672064e-03   4.1332062e-02   1.1076058e-01   2.0379947e-01   8.8277424e-02   7.0629228e-02   7.7408964e-02
   8.5000000e-01   1.4398446e-01   1.0130600e-02   4.1895930e-02   1.1257629e-01   2.0826614e-01   8.9182690e-02   7.1594138e-02   7.8659079e-02
   8.6000000e-01   1.4664787e-01   1.0295770e-02   4.2464388e-02   1.1441174e-01   2.1280584e-01   9.0087659e-02   7.2559540e-02   7.9917338e-02
   8.7000000e-01   1.4934587e-01   1.0462725e-02   4.3037449e-02   1.1626703e-01   2.1741934e-01   9.0992316e-02   7.3525189e-02   8.1183313e-02
   8.8000000e-01   1.5207872e-01   1.0631475e-02   4.3615126e-02   1.1814227e-01   2.2210746e-01   9.1896645e-02   7.4490843e-02   8.2456557e-02
   8.9000000e-01   1.5484668e-01   1.0802030e-02   4.4197430e-02   1.2003756e-01   2.2687099e-01   9.2800630e-02   7.5456263e-02   8.3736607e-02
   9.0000000e-01   1.5765001e-01   1.0974400e-02   4.4784374e-02   1.2195302e-01   2.3171074e-01   9.3704254e-02   7.6421215e-02   8.5022984e-02
   9.1000000e-01   1.6048898e-01   1.1148594e-02   4.5375971e-02   1.2388875e-01   2.3662751e-01   9.4607501e-02   7.7385467e-02   8.6315189e-02
   9.2000000e-01   1.6336384e-01   1.1324621e-02   4.5972231e-02   1.2584485e-01   2.4162211e-01   9.5510352e-02   7.8348792e-02   8.7612711e-02
   9.3000000e-01   1.6627487e-01   1.1502491e-02   4.6573168e-02   1.2782143e-01   2.4669537e-01   9.6412788e-02   7.9310968e-02   8.8915020e-02
   9.4000000e-01   1.6922232e-01   1.1682214e-02   4.7178794e-02   1.2981861e-01   2.5184810e-01   9.7314792e-02   8.0271775e-02   9.0221570e-02
   9.5000000e-01   1.7220646e-01   1.1863800e-02   4.7789120e-02   1.3183648e-01   2.5708113e-01   9.8216342e-02   8.1230997e-02   9.1531802e-02
   9.6000000e-01   1.7522755e-01   1.2047258e-02   4.8404160e-02   1.3387515e-01   2.6239529e-01   9.9117418e-02   8.2188424e-02   9.2845141e-02
   9.7000000e-01   1.7828587e-01   1.2232597e-02   4.9023925e-02   1.3593473e-01   2.6779142e-01   1.0001800e-01   8.3143848e-02   9.4160998e-02
   9.8000000e-01   1.8138167e-01   1.2419827e-02   4.9648426e-02   1.3801533e-01   2.7327035e-01   1.0091806e-01   8.4097068e-02   9.5478771e-02
   9.9000000e-01   1.8451523e-01   1.2608958e-02   5.0277677e-02   1.4011705e-01   2.7883293e-01   1.0181759e-01   8.5047884e-02   9.6797843e-02
   1.0000000e+00   1.8768681e-01   1.2800000e-02   5.0911688e-02   1.4224000e-01   2.8448000e-01   1.0271655e-01   8.5996101e-02   9.8117588e-02
   1.0100000e+00   1.8768681e-01   1.2992962e-02   5.1550473e-02   1.4224000e-01   2.8448000e-01   1.0361492e-01   8.6941531e-02   9.9437367e-02
   1.0200000e+00   1.8740758e-01   1.3187853e-02   5.2194042e-02   1.4083517e-01   2.8448000e-01   1.0451269e-01   8.7883986e-02   1.0075653e-01
   1.0300000e+00   1.8713014e-01   1.3384683e-02   5.2842409e-02   1.3945105e-01   2.8448000e-01   1.0540981e-01   8.8823285e-02   1.0207442e-01
   1.0400000e+00   1.8685448e-01   1.3583462e-02   5.3495583e-02   1.3808723e-01   2.8448000e-01   1.0630627e-01   8.9759252e-02   1.0339036e-01
   1.0500000e+00   1.8658056e-01   1.3784200e-02   5.4153579e-02   1.3674333e-01   2.8448000e-01   1.0720204e-01   9.0691713e-02   1.0470368e-01
   1.0600000e+00   1.8630838e-01   1.3986906e-02   5.4816406e-02   1.3541894e-01   2.8448000e-01   1.0809709e-01   9.1620499e-02   1.0601370e-01
   1.0700000e+00   1.8603791e-01   1.4191589e-02   5.5484078e-02   1.3411371e-01   2.8448000e-01   1.0899139e-01   9.2545446e-02   1.0731972e-01
   1.0800000e+00   1.8576913e-01   1.4398259e-02   5.6156605e-02   1.3282725e-01   2.8448000e-01   1.0988491e-01   9.3466394e-02   1.0862105e-01
   1.0900000e+00   1.8550203e-01   1.4606926e-02   5.6834000e-02   1.3155922e-01   2.8448000e-01   1.1077762e-01   9.4383188e-02   1.0991700e-01
   1.1000000e+00   1.8523659e-01   1.4817600e-02   5.7516274e-02   1.3030926e-01   2.8448000e-01   1.1166948e-01   9.5295675e-02   1.1120686e-01
   1.1100000e+00   1.8497278e-01   1.5030290e-02   5.8203439e-02   1.2907703e-01   2.8448000e-01   1.1256048e-01   9.6203708e-02   1.1248992e-01
   1.1200000e+00   1.8471059e-01   1.5245005e-02   5.8895507e-02   1.2786219e-01   2.8448000e-01   1.1345056e-01   9.7107144e-02   1.1376548e-01
   1.1300000e+00   1.8445001e-01   1.5461755e-02   5.9592488e-02   1.2666442e-01   2.8448000e-01   1.1433971e-01   9.8005845e-02   1.1503284e-01
   1.1400000e+00   1.8419101e-01   1.5680550e-02   6.0294395e-02   1.2548341e-01   2.8448000e-01   1.1522787e-01   9.8899676e-02   1.1629130e-01
   1.1500000e+00   1.8393358e-01   1.5901400e-02   6.1001239e-02   1.2431884e-01   2.8448000e-01   1.1611503e-01   9.9788505e-02   1.1754015e-01
   1.1600000e+00   1.8367770e-01   1.6124314e-02   6.1713032e-02   1.2317040e-01   2.8448000e-01   1.1700113e-01   1.0067221e-01   1.1877870e-01
   1.1700000e+00   1.8342336e-01   1.6349301e-02   6.2429786e-02   1.2203781e-01   2.8448000e-01   1.1788614e-01   1.0155066e-01   1.2000626e-01
   1.1800000e+00   1.8317053e-01   1.6576371e-02   6.3151511e-02   1.2092076e-01   2.8448000e-01   1.1877001e-01   1.0242374e-01   1.2122215e-01
   1.1900000e+00   1.8291921e-01   1.6805534e-02   6.3878219e-02   1.1981898e-01   2.8448000e-01   1.1965272e-01   1.0329135e-01   1.2242568e-01
   1.2000000e+00   1.8266938e-01   1.7036800e-02   6.4609921e-02   1.1873220e-01   2.8448000e-01   1.2053422e-01   1.0415335e-01   1.2361618e-01
   1.2100000e+00   1.8242102e-01   1.7270178e-02   6.5346630e-02   1.1766013e-01   2.8448000e-01   1.2141446e-01   1.0500966e-01   1.2479301e-01
   1.2200000e+00   1.8217411e-01   1.7505677e-02   6.6088356e-02   1.1660251e-01   2.8448000e-01   1.2229341e-01   1.0586017e-01   1.2595550e-01
   1.2300000e+00   1.8192865e-01   1.7743307e-02   6.6835110e-02   1.1555910e-01   2.8448000e-01   1.2317101e-01   1.0670478e-01   1.2710304e-01
   1.2400000e+00   1.8168462e-01   1.7983078e-02   6.7586904e-02   1.1452962e-01   2.8448000e-01   1.2404722e-01   1.0754339e-01   1.2823498e-01
   1.2500000e+00   1.8144199e-01   1.8225000e-02   6.8343750e-02   1.1351384e-01   2.8448000e-01   1.2492199e-01   1.0837591e-01   1.2935072e-01
   1.2600000e+00   1.8120077e-01   1.8469082e-02   6.9105658e-02   1.1251152e-01   2.8448000e-01   1.2579528e-01   1.0920226e-01   1.3044967e-01
   1.2700000e+00   1.8096092e-01   1.8715333e-02   6.9872640e-02   1.1152241e-01   2.8448000e-01   1.2666703e-01   1.1002236e-01   1.3153126e-01
   1.2800000e+00   1.8072245e-01   1.8963763e-02   7.0644707e-02   1.1054629e-01   2.8448000e-01   1.2753720e-01   1.1083611e-01   1.3259491e-01
   1.2900000e+00   1.8048533e-01   1.9214382e-02   7.1421870e-02   1.0958293e-01   2.8448000e-01   1.2840573e-01   1.1164344e-01   1.3364008e-01
