# z sfr err errpos errneg
3.0 0.0999853722031 0.0621607034391 0.0621607034391 0.0462900481581
4.0 0.0630865049321 0.039220752373 0.039220752373 0.0292070458617
5.0 0.0199497045205 0.0124026909044 0.0124026909044 0.0092360788648
0.3 0.0251151899786 0.00751788206683 0.00751788206683 0.00649704243525
0.5 0.0354761487851 0.0106192906754 0.0106192906754 0.0091773163688
0.7 0.0794212042003 0.0237736305117 0.0237736305117 0.0205454521502
0.9 0.0891120567756 0.0348819759014 0.0348819759014 0.0288649122875
0.1 0.0165934414643 0.00496701542445 0.00496701542445 0.0042925533684
0.3 0.0269114109168 0.0080555557691 0.0080555557691 0.00696170639632
0.5 0.0338794590704 0.0101413438638 0.0101413438638 0.00876426909178
0.7 0.052473069248 0.0157070819144 0.0157070819144 0.013574245622
0.9 0.0933117786253 0.0365259127788 0.0365259127788 0.0302252736932
1.1 0.104697537621 0.040982748198 0.040982748198 0.0339133148701
1.4 0.104697537621 0.040982748198 0.040982748198 0.0339133148701
2.15 0.177801928694 0.077786773398 0.077786773398 0.0630033615021
3.0 0.102314330706 0.0636086122245 0.0636086122245 0.0473682818925
4.0 0.0316181508861 0.0196569403826 0.0196569403826 0.0146381985178
0.4 0.0222130810366 0.00664917620437 0.00664917620437 0.00574629657332
0.84 0.0741201803944 0.0221868429206 0.0221868429206 0.019174131581
1.47 0.0961471615692 0.0376357935637 0.0376357935637 0.0311437025
2.23 0.154859006116 0.0677494474098 0.0677494474098 0.0548736339132
